2019-07-31 07:52:08.52: RC_CHANNELS_RAW {time_boot_ms : 2303287, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:09.04: RC_CHANNELS_RAW {time_boot_ms : 2303787, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:09.53: RC_CHANNELS_RAW {time_boot_ms : 2304287, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:10.02: RC_CHANNELS_RAW {time_boot_ms : 2304787, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:10.52: RC_CHANNELS_RAW {time_boot_ms : 2305287, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:11.02: RC_CHANNELS_RAW {time_boot_ms : 2305787, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:11.52: RC_CHANNELS_RAW {time_boot_ms : 2306287, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:11.76: RC_CHANNELS_RAW {time_boot_ms : 2306527, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:12.01: RC_CHANNELS_RAW {time_boot_ms : 2306767, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:12.25: RC_CHANNELS_RAW {time_boot_ms : 2307007, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:12.48: RC_CHANNELS_RAW {time_boot_ms : 2307247, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:12.72: RC_CHANNELS_RAW {time_boot_ms : 2307487, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:12.96: RC_CHANNELS_RAW {time_boot_ms : 2307727, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:13.20: RC_CHANNELS_RAW {time_boot_ms : 2307967, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
2019-07-31 07:52:13.70: RC_CHANNELS_RAW {time_boot_ms : 2308467, port : 0, chan1_raw : 1500, chan2_raw : 1500, chan3_raw : 1500, chan4_raw : 1500, chan5_raw : 1500, chan6_raw : 1500, chan7_raw : 1500, chan8_raw : 1500, rssi : 0}
