2019-07-22 20:30:05.199 INFO     Starting buoy test
2019-07-22 20:30:05.377 INFO     Fwd Dist 841 
2019-07-22 20:30:05.378 INFO     Fwd Conf 100
2019-07-22 20:30:05.570 INFO     Fwd Dist 840 
2019-07-22 20:30:05.572 INFO     Fwd Conf 100
2019-07-22 20:30:05.772 INFO     Fwd Dist 839 
2019-07-22 20:30:05.773 INFO     Fwd Conf 100
2019-07-22 20:30:05.952 INFO     Fwd Dist 839 
2019-07-22 20:30:05.953 INFO     Fwd Conf 100
2019-07-22 20:30:06.148 INFO     Fwd Dist 837 
2019-07-22 20:30:06.148 INFO     Fwd Conf 100
2019-07-22 20:30:06.320 INFO     Fwd Dist 834 
2019-07-22 20:30:06.320 INFO     Fwd Conf 100
2019-07-22 20:30:06.525 INFO     Fwd Dist 834 
2019-07-22 20:30:06.525 INFO     Fwd Conf 100
2019-07-22 20:30:06.715 INFO     Fwd Dist 830 
2019-07-22 20:30:06.715 INFO     Fwd Conf 100
2019-07-22 20:30:06.858 INFO     Fwd Dist 830 
2019-07-22 20:30:06.859 INFO     Fwd Conf 100
2019-07-22 20:30:07.003 INFO     Fwd Dist 826 
2019-07-22 20:30:07.004 INFO     Fwd Conf 100
2019-07-22 20:30:07.203 INFO      prev 826
2019-07-22 20:30:07.203 INFO      current 826
2019-07-22 20:30:07.203 INFO      diff 0
2019-07-22 20:30:07.203 INFO      accu_diff 0
2019-07-22 20:30:07.211 INFO     Fwd Dist 826 
2019-07-22 20:30:07.211 INFO     Fwd Conf 100
2019-07-22 20:30:07.214 INFO      prev 826
2019-07-22 20:30:07.214 INFO      current 826
2019-07-22 20:30:07.214 INFO      diff 0
2019-07-22 20:30:07.214 INFO      accu_diff 0
2019-07-22 20:30:07.225 INFO      prev 826
2019-07-22 20:30:07.225 INFO      current 826
2019-07-22 20:30:07.225 INFO      diff 0
2019-07-22 20:30:07.226 INFO      accu_diff 0
2019-07-22 20:30:07.236 INFO      prev 826
2019-07-22 20:30:07.237 INFO      current 826
2019-07-22 20:30:07.237 INFO      diff 0
2019-07-22 20:30:07.237 INFO      accu_diff 0
2019-07-22 20:30:07.248 INFO      prev 826
2019-07-22 20:30:07.248 INFO      current 826
2019-07-22 20:30:07.249 INFO      diff 0
2019-07-22 20:30:07.249 INFO      accu_diff 0
2019-07-22 20:30:07.260 INFO      prev 826
2019-07-22 20:30:07.260 INFO      current 826
2019-07-22 20:30:07.261 INFO      diff 0
2019-07-22 20:30:07.261 INFO      accu_diff 0
2019-07-22 20:30:07.272 INFO      prev 826
2019-07-22 20:30:07.272 INFO      current 826
2019-07-22 20:30:07.273 INFO      diff 0
2019-07-22 20:30:07.273 INFO      accu_diff 0
2019-07-22 20:30:07.285 INFO      prev 826
2019-07-22 20:30:07.286 INFO      current 826
2019-07-22 20:30:07.286 INFO      diff 0
2019-07-22 20:30:07.287 INFO      accu_diff 0
2019-07-22 20:30:07.298 INFO      prev 826
2019-07-22 20:30:07.299 INFO      current 826
2019-07-22 20:30:07.299 INFO      diff 0
2019-07-22 20:30:07.300 INFO      accu_diff 0
2019-07-22 20:30:07.311 INFO      prev 826
2019-07-22 20:30:07.311 INFO      current 821
2019-07-22 20:30:07.312 INFO      diff 5
2019-07-22 20:30:07.312 INFO      accu_diff 5
