2019-07-23 19:45:06.053 INFO     Starting buoy test
2019-07-23 19:45:06.232 INFO     Fwd Dist 991 
2019-07-23 19:45:06.233 INFO     Fwd Conf 100
2019-07-23 19:45:06.370 INFO     Fwd Dist 977 
2019-07-23 19:45:06.370 INFO     Fwd Conf 100
2019-07-23 19:45:06.466 INFO     Fwd Dist 977 
2019-07-23 19:45:06.467 INFO     Fwd Conf 100
2019-07-23 19:45:06.665 INFO     Fwd Dist 977 
2019-07-23 19:45:06.665 INFO     Fwd Conf 100
2019-07-23 19:45:06.854 INFO     Fwd Dist 980 
2019-07-23 19:45:06.854 INFO     Fwd Conf 100
2019-07-23 19:45:07.043 INFO     Fwd Dist 980 
2019-07-23 19:45:07.043 INFO     Fwd Conf 100
2019-07-23 19:45:07.202 INFO     Fwd Dist 988 
2019-07-23 19:45:07.202 INFO     Fwd Conf 100
2019-07-23 19:45:07.329 INFO     Fwd Dist 988 
2019-07-23 19:45:07.330 INFO     Fwd Conf 100
2019-07-23 19:45:07.529 INFO     Fwd Dist 989 
2019-07-23 19:45:07.529 INFO     Fwd Conf 100
2019-07-23 19:45:07.718 INFO     Fwd Dist 995 
2019-07-23 19:45:07.718 INFO     Fwd Conf 100
2019-07-23 19:45:07.907 INFO     Fwd Dist 995 
2019-07-23 19:45:07.907 INFO     Fwd Conf 100
2019-07-23 19:45:08.056 INFO      prev 1002
2019-07-23 19:45:08.056 INFO      current 1002
2019-07-23 19:45:08.056 INFO      diff 0
2019-07-23 19:45:08.057 INFO      accu_diff 0
2019-07-23 19:45:08.067 INFO      prev 1002
2019-07-23 19:45:08.067 INFO      current 1002
2019-07-23 19:45:08.068 INFO      diff 0
2019-07-23 19:45:08.068 INFO      accu_diff 0
2019-07-23 19:45:08.078 INFO      prev 1002
2019-07-23 19:45:08.079 INFO      current 1002
2019-07-23 19:45:08.079 INFO      diff 0
2019-07-23 19:45:08.079 INFO      accu_diff 0
2019-07-23 19:45:08.090 INFO      prev 1002
2019-07-23 19:45:08.090 INFO      current 1002
2019-07-23 19:45:08.090 INFO      diff 0
2019-07-23 19:45:08.090 INFO      accu_diff 0
2019-07-23 19:45:08.096 INFO     Fwd Dist 1002 
2019-07-23 19:45:08.096 INFO     Fwd Conf 100
2019-07-23 19:45:08.101 INFO      prev 1002
2019-07-23 19:45:08.101 INFO      current 1002
2019-07-23 19:45:08.101 INFO      diff 0
2019-07-23 19:45:08.102 INFO      accu_diff 0
2019-07-23 19:45:08.112 INFO      prev 1002
2019-07-23 19:45:08.113 INFO      current 1002
2019-07-23 19:45:08.113 INFO      diff 0
2019-07-23 19:45:08.113 INFO      accu_diff 0
2019-07-23 19:45:08.124 INFO      prev 1002
2019-07-23 19:45:08.124 INFO      current 1002
2019-07-23 19:45:08.124 INFO      diff 0
2019-07-23 19:45:08.124 INFO      accu_diff 0
2019-07-23 19:45:08.135 INFO      prev 1002
2019-07-23 19:45:08.135 INFO      current 1002
2019-07-23 19:45:08.135 INFO      diff 0
2019-07-23 19:45:08.135 INFO      accu_diff 0
2019-07-23 19:45:08.146 INFO      prev 1002
2019-07-23 19:45:08.146 INFO      current 1002
2019-07-23 19:45:08.146 INFO      diff 0
2019-07-23 19:45:08.147 INFO      accu_diff 0
2019-07-23 19:45:08.157 INFO      prev 1002
2019-07-23 19:45:08.158 INFO      current 1002
2019-07-23 19:45:08.158 INFO      diff 0
2019-07-23 19:45:08.158 INFO      accu_diff 0
2019-07-23 19:45:08.169 INFO      prev 1002
2019-07-23 19:45:08.169 INFO      current 1002
2019-07-23 19:45:08.169 INFO      diff 0
2019-07-23 19:45:08.170 INFO      accu_diff 0
2019-07-23 19:45:08.180 INFO      prev 1002
2019-07-23 19:45:08.181 INFO      current 1002
2019-07-23 19:45:08.181 INFO      diff 0
2019-07-23 19:45:08.181 INFO      accu_diff 0
2019-07-23 19:45:08.192 INFO      prev 1002
2019-07-23 19:45:08.192 INFO      current 1002
2019-07-23 19:45:08.192 INFO      diff 0
2019-07-23 19:45:08.192 INFO      accu_diff 0
2019-07-23 19:45:08.203 INFO      prev 1002
2019-07-23 19:45:08.203 INFO      current 995
2019-07-23 19:45:08.203 INFO      diff 7
2019-07-23 19:45:08.203 INFO      accu_diff 7
2019-07-23 19:45:08.214 INFO      prev 995
2019-07-23 19:45:08.214 INFO      current 995
2019-07-23 19:45:08.214 INFO      diff 0
2019-07-23 19:45:08.214 INFO      accu_diff 7
2019-07-23 19:45:08.225 INFO      prev 995
2019-07-23 19:45:08.225 INFO      current 995
2019-07-23 19:45:08.226 INFO      diff 0
2019-07-23 19:45:08.226 INFO      accu_diff 7
2019-07-23 19:45:08.237 INFO      prev 995
2019-07-23 19:45:08.237 INFO      current 995
2019-07-23 19:45:08.237 INFO      diff 0
2019-07-23 19:45:08.237 INFO      accu_diff 7
2019-07-23 19:45:08.248 INFO      prev 995
2019-07-23 19:45:08.248 INFO      current 995
2019-07-23 19:45:08.248 INFO      diff 0
2019-07-23 19:45:08.248 INFO      accu_diff 7
2019-07-23 19:45:08.259 INFO      prev 995
2019-07-23 19:45:08.259 INFO      current 995
2019-07-23 19:45:08.259 INFO      diff 0
2019-07-23 19:45:08.260 INFO      accu_diff 7
2019-07-23 19:45:08.270 INFO      prev 995
2019-07-23 19:45:08.271 INFO      current 995
2019-07-23 19:45:08.271 INFO      diff 0
2019-07-23 19:45:08.271 INFO      accu_diff 7
2019-07-23 19:45:08.282 INFO      prev 995
2019-07-23 19:45:08.282 INFO      current 995
2019-07-23 19:45:08.282 INFO      diff 0
2019-07-23 19:45:08.282 INFO      accu_diff 7
2019-07-23 19:45:08.293 INFO      prev 995
2019-07-23 19:45:08.293 INFO      current 995
2019-07-23 19:45:08.294 INFO      diff 0
2019-07-23 19:45:08.294 INFO      accu_diff 7
2019-07-23 19:45:08.294 INFO     Fwd Dist 995 
2019-07-23 19:45:08.294 INFO     Fwd Conf 100
2019-07-23 19:45:08.304 INFO      prev 995
2019-07-23 19:45:08.305 INFO      current 995
2019-07-23 19:45:08.305 INFO      diff 0
2019-07-23 19:45:08.305 INFO      accu_diff 7
2019-07-23 19:45:08.316 INFO      prev 995
2019-07-23 19:45:08.316 INFO      current 995
2019-07-23 19:45:08.316 INFO      diff 0
2019-07-23 19:45:08.316 INFO      accu_diff 7
2019-07-23 19:45:08.327 INFO      prev 995
2019-07-23 19:45:08.328 INFO      current 995
2019-07-23 19:45:08.328 INFO      diff 0
2019-07-23 19:45:08.328 INFO      accu_diff 7
2019-07-23 19:45:08.339 INFO      prev 995
2019-07-23 19:45:08.340 INFO      current 995
2019-07-23 19:45:08.340 INFO      diff 0
2019-07-23 19:45:08.340 INFO      accu_diff 7
2019-07-23 19:45:08.351 INFO      prev 995
2019-07-23 19:45:08.352 INFO      current 995
2019-07-23 19:45:08.352 INFO      diff 0
2019-07-23 19:45:08.352 INFO      accu_diff 7
2019-07-23 19:45:08.363 INFO      prev 995
2019-07-23 19:45:08.363 INFO      current 995
2019-07-23 19:45:08.363 INFO      diff 0
2019-07-23 19:45:08.363 INFO      accu_diff 7
2019-07-23 19:45:08.374 INFO      prev 995
2019-07-23 19:45:08.374 INFO      current 995
2019-07-23 19:45:08.374 INFO      diff 0
