2019-07-23 19:38:05.504 INFO     Starting buoy test
2019-07-23 19:38:05.648 INFO     Fwd Dist 425 
2019-07-23 19:38:05.649 INFO     Fwd Conf 100
2019-07-23 19:38:05.840 INFO     Fwd Dist 423 
2019-07-23 19:38:05.840 INFO     Fwd Conf 100
2019-07-23 19:38:06.029 INFO     Fwd Dist 422 
2019-07-23 19:38:06.029 INFO     Fwd Conf 100
2019-07-23 19:38:06.186 INFO     Fwd Dist 422 
2019-07-23 19:38:06.187 INFO     Fwd Conf 100
2019-07-23 19:38:06.335 INFO     Fwd Dist 420 
2019-07-23 19:38:06.335 INFO     Fwd Conf 100
2019-07-23 19:38:06.493 INFO     Fwd Dist 420 
2019-07-23 19:38:06.493 INFO     Fwd Conf 100
2019-07-23 19:38:06.671 INFO     Fwd Dist 419 
2019-07-23 19:38:06.671 INFO     Fwd Conf 100
2019-07-23 19:38:06.860 INFO     Fwd Dist 419 
2019-07-23 19:38:06.860 INFO     Fwd Conf 100
2019-07-23 19:38:07.008 INFO     Fwd Dist 418 
2019-07-23 19:38:07.008 INFO     Fwd Conf 100
2019-07-23 19:38:07.146 INFO     Fwd Dist 417 
2019-07-23 19:38:07.146 INFO     Fwd Conf 100
2019-07-23 19:38:07.293 INFO     Fwd Dist 417 
2019-07-23 19:38:07.293 INFO     Fwd Conf 100
2019-07-23 19:38:07.482 INFO     Fwd Dist 417 
2019-07-23 19:38:07.482 INFO     Fwd Conf 100
2019-07-23 19:38:07.508 INFO      prev 417
2019-07-23 19:38:07.508 INFO      current 417
2019-07-23 19:38:07.508 INFO      diff 0
2019-07-23 19:38:07.508 INFO      accu_diff 0
2019-07-23 19:38:07.519 INFO      prev 417
2019-07-23 19:38:07.519 INFO      current 417
2019-07-23 19:38:07.519 INFO      diff 0
2019-07-23 19:38:07.519 INFO      accu_diff 0
2019-07-23 19:38:07.530 INFO      prev 417
2019-07-23 19:38:07.530 INFO      current 417
2019-07-23 19:38:07.530 INFO      diff 0
2019-07-23 19:38:07.530 INFO      accu_diff 0
2019-07-23 19:38:07.541 INFO      prev 417
2019-07-23 19:38:07.541 INFO      current 417
2019-07-23 19:38:07.542 INFO      diff 0
2019-07-23 19:38:07.542 INFO      accu_diff 0
2019-07-23 19:38:07.553 INFO      prev 417
2019-07-23 19:38:07.553 INFO      current 417
2019-07-23 19:38:07.553 INFO      diff 0
2019-07-23 19:38:07.553 INFO      accu_diff 0
2019-07-23 19:38:07.564 INFO      prev 417
2019-07-23 19:38:07.564 INFO      current 417
2019-07-23 19:38:07.564 INFO      diff 0
2019-07-23 19:38:07.564 INFO      accu_diff 0
2019-07-23 19:38:07.575 INFO      prev 417
2019-07-23 19:38:07.575 INFO      current 417
2019-07-23 19:38:07.575 INFO      diff 0
2019-07-23 19:38:07.576 INFO      accu_diff 0
2019-07-23 19:38:07.586 INFO      prev 417
2019-07-23 19:38:07.587 INFO      current 417
2019-07-23 19:38:07.587 INFO      diff 0
2019-07-23 19:38:07.587 INFO      accu_diff 0
2019-07-23 19:38:07.598 INFO      prev 417
2019-07-23 19:38:07.598 INFO      current 417
2019-07-23 19:38:07.598 INFO      diff 0
2019-07-23 19:38:07.598 INFO      accu_diff 0
2019-07-23 19:38:07.609 INFO      prev 417
2019-07-23 19:38:07.609 INFO      current 417
2019-07-23 19:38:07.609 INFO      diff 0
2019-07-23 19:38:07.610 INFO      accu_diff 0
2019-07-23 19:38:07.620 INFO      prev 417
2019-07-23 19:38:07.620 INFO      current 417
2019-07-23 19:38:07.621 INFO      diff 0
2019-07-23 19:38:07.621 INFO      accu_diff 0
2019-07-23 19:38:07.631 INFO      prev 417
2019-07-23 19:38:07.632 INFO      current 417
2019-07-23 19:38:07.632 INFO      diff 0
2019-07-23 19:38:07.632 INFO      accu_diff 0
2019-07-23 19:38:07.643 INFO      prev 417
2019-07-23 19:38:07.643 INFO      current 417
2019-07-23 19:38:07.643 INFO      diff 0
2019-07-23 19:38:07.643 INFO      accu_diff 0
2019-07-23 19:38:07.654 INFO      prev 417
2019-07-23 19:38:07.654 INFO      current 417
2019-07-23 19:38:07.654 INFO      diff 0
2019-07-23 19:38:07.654 INFO      accu_diff 0
2019-07-23 19:38:07.665 INFO      prev 417
2019-07-23 19:38:07.666 INFO      current 417
2019-07-23 19:38:07.666 INFO      diff 0
2019-07-23 19:38:07.666 INFO      accu_diff 0
2019-07-23 19:38:07.677 INFO      prev 417
2019-07-23 19:38:07.677 INFO      current 417
2019-07-23 19:38:07.677 INFO      diff 0
2019-07-23 19:38:07.677 INFO      accu_diff 0
2019-07-23 19:38:07.679 INFO     Fwd Dist 417 
2019-07-23 19:38:07.679 INFO     Fwd Conf 100
2019-07-23 19:38:07.688 INFO      prev 417
2019-07-23 19:38:07.688 INFO      current 417
2019-07-23 19:38:07.688 INFO      diff 0
2019-07-23 19:38:07.688 INFO      accu_diff 0
2019-07-23 19:38:07.699 INFO      prev 417
2019-07-23 19:38:07.699 INFO      current 417
2019-07-23 19:38:07.700 INFO      diff 0
2019-07-23 19:38:07.700 INFO      accu_diff 0
2019-07-23 19:38:07.711 INFO      prev 417
2019-07-23 19:38:07.711 INFO      current 417
2019-07-23 19:38:07.711 INFO      diff 0
2019-07-23 19:38:07.711 INFO      accu_diff 0
2019-07-23 19:38:07.722 INFO      prev 417
2019-07-23 19:38:07.722 INFO      current 417
2019-07-23 19:38:07.722 INFO      diff 0
2019-07-23 19:38:07.722 INFO      accu_diff 0
2019-07-23 19:38:07.733 INFO      prev 417
2019-07-23 19:38:07.733 INFO      current 417
2019-07-23 19:38:07.733 INFO      diff 0
2019-07-23 19:38:07.733 INFO      accu_diff 0
2019-07-23 19:38:07.744 INFO      prev 417
2019-07-23 19:38:07.744 INFO      current 418
2019-07-23 19:38:07.745 INFO      diff 1
2019-07-23 19:38:07.745 INFO      accu_diff 1
2019-07-23 19:38:07.755 INFO      prev 418
2019-07-23 19:38:07.756 INFO      current 418
2019-07-23 19:38:07.756 INFO      diff 0
2019-07-23 19:38:07.756 INFO      accu_diff 1
2019-07-23 19:38:07.767 INFO      prev 418
2019-07-23 19:38:07.767 INFO      current 418
2019-07-23 19:38:07.767 INFO      diff 0
2019-07-23 19:38:07.767 INFO      accu_diff 1
2019-07-23 19:38:07.778 INFO      prev 418
2019-07-23 19:38:07.778 INFO      current 418
2019-07-23 19:38:07.778 INFO      diff 0
2019-07-23 19:38:07.778 INFO      accu_diff 1
2019-07-23 19:38:07.789 INFO      prev 418
2019-07-23 19:38:07.790 INFO      current 418
2019-07-23 19:38:07.790 INFO      diff 0
2019-07-23 19:38:07.790 INFO      accu_diff 1
2019-07-23 19:38:07.801 INFO      prev 418
2019-07-23 19:38:07.801 INFO      current 418
2019-07-23 19:38:07.801 INFO      diff 0
2019-07-23 19:38:07.801 INFO      accu_diff 1
2019-07-23 19:38:07.812 INFO      prev 418
2019-07-23 19:38:07.812 INFO      current 418
2019-07-23 19:38:07.812 INFO      diff 0
2019-07-23 19:38:07.812 INFO      accu_diff 1
2019-07-23 19:38:07.823 INFO      prev 418
2019-07-23 19:38:07.824 INFO      current 418
2019-07-23 19:38:07.824 INFO      diff 0
2019-07-23 19:38:07.824 INFO      accu_diff 1
2019-07-23 19:38:07.835 INFO     Fwd Dist 418 
2019-07-23 19:38:07.835 INFO     Fwd Conf 100
2019-07-23 19:38:07.835 INFO      prev 418
2019-07-23 19:38:07.835 INFO      current 418
2019-07-23 19:38:07.836 INFO      diff 0
2019-07-23 19:38:07.836 INFO      accu_diff 1
2019-07-23 19:38:07.846 INFO      prev 418
2019-07-23 19:38:07.847 INFO      current 418
2019-07-23 19:38:07.847 INFO      diff 0
2019-07-23 19:38:07.847 INFO      accu_diff 1
2019-07-23 19:38:07.858 INFO      prev 418
2019-07-23 19:38:07.858 INFO      current 418
2019-07-23 19:38:07.858 INFO      diff 0
2019-07-23 19:38:07.858 INFO      accu_diff 1
2019-07-23 19:38:07.869 INFO      prev 418
2019-07-23 19:38:07.869 INFO      current 418
2019-07-23 19:38:07.869 INFO      diff 0
2019-07-23 19:38:07.869 INFO      accu_diff 1
2019-07-23 19:38:07.880 INFO      prev 418
2019-07-23 19:38:07.881 INFO      current 418
2019-07-23 19:38:07.881 INFO      diff 0
2019-07-23 19:38:07.881 INFO      accu_diff 1
2019-07-23 19:38:07.892 INFO      prev 418
2019-07-23 19:38:07.892 INFO      current 418
2019-07-23 19:38:07.892 INFO      diff 0
2019-07-23 19:38:07.892 INFO      accu_diff 1
2019-07-23 19:38:07.903 INFO      prev 418
2019-07-23 19:38:07.903 INFO      current 418
2019-07-23 19:38:07.903 INFO      diff 0
2019-07-23 19:38:07.903 INFO      accu_diff 1
2019-07-23 19:38:07.914 INFO      prev 418
2019-07-23 19:38:07.914 INFO      current 418
2019-07-23 19:38:07.915 INFO      diff 0
2019-07-23 19:38:07.915 INFO      accu_diff 1
2019-07-23 19:38:07.926 INFO      prev 418
2019-07-23 19:38:07.926 INFO      current 418
2019-07-23 19:38:07.926 INFO      diff 0
2019-07-23 19:38:07.926 INFO      accu_diff 1
2019-07-23 19:38:07.937 INFO      prev 418
2019-07-23 19:38:07.937 INFO      current 418
2019-07-23 19:38:07.937 INFO      diff 0
2019-07-23 19:38:07.937 INFO      accu_diff 1
2019-07-23 19:38:07.948 INFO      prev 418
2019-07-23 19:38:07.948 INFO      current 418
2019-07-23 19:38:07.949 INFO      diff 0
2019-07-23 19:38:07.949 INFO      accu_diff 1
2019-07-23 19:38:07.960 INFO      prev 418
2019-07-23 19:38:07.960 INFO      current 418
2019-07-23 19:38:07.960 INFO      diff 0
2019-07-23 19:38:07.960 INFO      accu_diff 1
2019-07-23 19:38:07.961 INFO     Fwd Dist 418 
2019-07-23 19:38:07.961 INFO     Fwd Conf 95
2019-07-23 19:38:07.971 INFO      prev 418
2019-07-23 19:38:07.971 INFO      current 418
2019-07-23 19:38:07.971 INFO      diff 0
2019-07-23 19:38:07.972 INFO      accu_diff 1
2019-07-23 19:38:07.982 INFO      prev 418
2019-07-23 19:38:07.983 INFO      current 418
2019-07-23 19:38:07.983 INFO      diff 0
2019-07-23 19:38:07.983 INFO      accu_diff 1
2019-07-23 19:38:07.994 INFO      prev 418
2019-07-23 19:38:07.994 INFO      current 418
