2019-07-23 19:07:04.880 INFO     Starting buoy test
2019-07-23 19:07:05.044 INFO     Fwd Dist 1044 
2019-07-23 19:07:05.045 INFO     Fwd Conf 100
2019-07-23 19:07:05.237 INFO     Fwd Dist 1044 
2019-07-23 19:07:05.237 INFO     Fwd Conf 100
2019-07-23 19:07:05.378 INFO     Fwd Dist 1042 
2019-07-23 19:07:05.378 INFO     Fwd Conf 100
2019-07-23 19:07:05.520 INFO     Fwd Dist 1042 
2019-07-23 19:07:05.521 INFO     Fwd Conf 100
2019-07-23 19:07:05.671 INFO     Fwd Dist 1041 
2019-07-23 19:07:05.671 INFO     Fwd Conf 100
2019-07-23 19:07:05.879 INFO     Fwd Dist 1041 
2019-07-23 19:07:05.880 INFO     Fwd Conf 100
2019-07-23 19:07:06.103 INFO     Fwd Dist 1041 
2019-07-23 19:07:06.104 INFO     Fwd Conf 100
2019-07-23 19:07:06.286 INFO     Fwd Dist 1040 
2019-07-23 19:07:06.286 INFO     Fwd Conf 100
2019-07-23 19:07:06.450 INFO     Fwd Dist 1042 
2019-07-23 19:07:06.451 INFO     Fwd Conf 100
2019-07-23 19:07:06.578 INFO     Fwd Dist 1042 
2019-07-23 19:07:06.578 INFO     Fwd Conf 100
2019-07-23 19:07:06.735 INFO     Fwd Dist 1042 
2019-07-23 19:07:06.736 INFO     Fwd Conf 100
2019-07-23 19:07:06.881 INFO     Fwd Dist 1042 
2019-07-23 19:07:06.881 INFO     Fwd Conf 100
2019-07-23 19:07:06.884 INFO      prev 1042
2019-07-23 19:07:06.885 INFO      current 1042
2019-07-23 19:07:06.885 INFO      diff 0
2019-07-23 19:07:06.885 INFO      accu_diff 0
2019-07-23 19:07:06.896 INFO      prev 1042
2019-07-23 19:07:06.896 INFO      current 1042
2019-07-23 19:07:06.897 INFO      diff 0
2019-07-23 19:07:06.897 INFO      accu_diff 0
2019-07-23 19:07:06.909 INFO      prev 1042
2019-07-23 19:07:06.909 INFO      current 1042
2019-07-23 19:07:06.909 INFO      diff 0
2019-07-23 19:07:06.910 INFO      accu_diff 0
2019-07-23 19:07:06.921 INFO      prev 1042
2019-07-23 19:07:06.922 INFO      current 1042
2019-07-23 19:07:06.922 INFO      diff 0
2019-07-23 19:07:06.922 INFO      accu_diff 0
2019-07-23 19:07:06.937 INFO      prev 1042
2019-07-23 19:07:06.938 INFO      current 1042
2019-07-23 19:07:06.940 INFO      diff 0
2019-07-23 19:07:06.940 INFO      accu_diff 0
2019-07-23 19:07:06.952 INFO      prev 1042
2019-07-23 19:07:06.953 INFO      current 1042
2019-07-23 19:07:06.953 INFO      diff 0
2019-07-23 19:07:06.954 INFO      accu_diff 0
2019-07-23 19:07:06.966 INFO      prev 1042
2019-07-23 19:07:06.966 INFO      current 1042
2019-07-23 19:07:06.967 INFO      diff 0
2019-07-23 19:07:06.967 INFO      accu_diff 0
2019-07-23 19:07:06.979 INFO      prev 1042
2019-07-23 19:07:06.980 INFO      current 1042
2019-07-23 19:07:06.981 INFO      diff 0
2019-07-23 19:07:06.981 INFO      accu_diff 0
2019-07-23 19:07:06.993 INFO      prev 1042
2019-07-23 19:07:06.994 INFO      current 1042
2019-07-23 19:07:06.995 INFO      diff 0
2019-07-23 19:07:06.995 INFO      accu_diff 0
2019-07-23 19:07:07.007 INFO      prev 1042
2019-07-23 19:07:07.008 INFO      current 1042
2019-07-23 19:07:07.009 INFO      diff 0
2019-07-23 19:07:07.009 INFO      accu_diff 0
2019-07-23 19:07:07.021 INFO      prev 1042
2019-07-23 19:07:07.022 INFO      current 1042
2019-07-23 19:07:07.023 INFO      diff 0
2019-07-23 19:07:07.023 INFO      accu_diff 0
