2019-07-23 19:43:29.400 INFO     Starting buoy test
2019-07-23 19:43:29.527 INFO     Fwd Dist 8535 
2019-07-23 19:43:29.527 INFO     Fwd Conf 100
2019-07-23 19:43:29.716 INFO     Fwd Dist 8535 
2019-07-23 19:43:29.716 INFO     Fwd Conf 100
2019-07-23 19:43:29.854 INFO     Fwd Dist 8538 
2019-07-23 19:43:29.854 INFO     Fwd Conf 100
2019-07-23 19:43:30.052 INFO     Fwd Dist 8545 
2019-07-23 19:43:30.053 INFO     Fwd Conf 100
2019-07-23 19:43:30.242 INFO     Fwd Dist 8545 
2019-07-23 19:43:30.243 INFO     Fwd Conf 100
2019-07-23 19:43:30.452 INFO     Fwd Dist 8556 
2019-07-23 19:43:30.453 INFO     Fwd Conf 100
2019-07-23 19:43:30.642 INFO     Fwd Dist 8549 
2019-07-23 19:43:30.642 INFO     Fwd Conf 100
2019-07-23 19:43:30.851 INFO     Fwd Dist 8549 
2019-07-23 19:43:30.851 INFO     Fwd Conf 100
2019-07-23 19:43:30.999 INFO     Fwd Dist 8541 
2019-07-23 19:43:31.000 INFO     Fwd Conf 100
2019-07-23 19:43:31.188 INFO     Fwd Dist 8537 
2019-07-23 19:43:31.188 INFO     Fwd Conf 100
2019-07-23 19:43:31.397 INFO     Fwd Dist 8533 
2019-07-23 19:43:31.397 INFO     Fwd Conf 100
2019-07-23 19:43:31.402 INFO      prev 8533
2019-07-23 19:43:31.402 INFO      current 8533
2019-07-23 19:43:31.402 INFO      diff 0
2019-07-23 19:43:31.403 INFO      accu_diff 0
2019-07-23 19:43:31.413 INFO      prev 8533
2019-07-23 19:43:31.413 INFO      current 8533
2019-07-23 19:43:31.414 INFO      diff 0
2019-07-23 19:43:31.414 INFO      accu_diff 0
2019-07-23 19:43:31.425 INFO      prev 8533
2019-07-23 19:43:31.425 INFO      current 8533
2019-07-23 19:43:31.425 INFO      diff 0
2019-07-23 19:43:31.425 INFO      accu_diff 0
2019-07-23 19:43:31.436 INFO      prev 8533
2019-07-23 19:43:31.436 INFO      current 8533
2019-07-23 19:43:31.436 INFO      diff 0
