2019-07-22 19:56:04.384 INFO     Starting buoy test
2019-07-22 19:56:04.596 INFO     Fwd Dist 1779 
2019-07-22 19:56:04.596 INFO     Fwd Conf 83
2019-07-22 19:56:04.761 INFO     Fwd Dist 1779 
2019-07-22 19:56:04.761 INFO     Fwd Conf 100
2019-07-22 19:56:04.906 INFO     Fwd Dist 1729 
2019-07-22 19:56:04.906 INFO     Fwd Conf 100
2019-07-22 19:56:05.061 INFO     Fwd Dist 1729 
2019-07-22 19:56:05.062 INFO     Fwd Conf 100
2019-07-22 19:56:05.191 INFO     Fwd Dist 1791 
2019-07-22 19:56:05.191 INFO     Fwd Conf 100
2019-07-22 19:56:05.377 INFO     Fwd Dist 1791 
2019-07-22 19:56:05.377 INFO     Fwd Conf 100
2019-07-22 19:56:05.572 INFO     Fwd Dist 1698 
2019-07-22 19:56:05.572 INFO     Fwd Conf 100
2019-07-22 19:56:05.764 INFO     Fwd Dist 1681 
2019-07-22 19:56:05.765 INFO     Fwd Conf 100
2019-07-22 19:56:05.925 INFO     Fwd Dist 1681 
2019-07-22 19:56:05.925 INFO     Fwd Conf 100
2019-07-22 19:56:06.115 INFO     Fwd Dist 1690 
2019-07-22 19:56:06.115 INFO     Fwd Conf 100
2019-07-22 19:56:06.255 INFO     Fwd Dist 1690 
2019-07-22 19:56:06.256 INFO     Fwd Conf 100
2019-07-22 19:56:06.408 INFO     Fwd Dist 1697 
2019-07-22 19:56:06.408 INFO     Fwd Conf 100
2019-07-22 19:56:06.595 INFO     Fwd Dist 1697 
2019-07-22 19:56:06.596 INFO     Fwd Conf 83
2019-07-22 19:56:06.805 INFO     Fwd Dist 1724 
2019-07-22 19:56:06.805 INFO     Fwd Conf 66
2019-07-22 19:56:07.144 INFO     Fwd Dist 1722 
2019-07-22 19:56:07.144 INFO     Fwd Conf 83
2019-07-22 19:56:07.317 INFO     Fwd Dist 1711 
2019-07-22 19:56:07.318 INFO     Fwd Conf 83
2019-07-22 19:56:07.471 INFO     Fwd Dist 1741 
2019-07-22 19:56:07.472 INFO     Fwd Conf 66
2019-07-22 19:56:07.700 INFO     Fwd Dist 1741 
2019-07-22 19:56:07.700 INFO     Fwd Conf 83
2019-07-22 19:56:07.865 INFO     Fwd Dist 1833 
2019-07-22 19:56:07.866 INFO     Fwd Conf 83
2019-07-22 19:56:08.087 INFO     Fwd Dist 1820 
2019-07-22 19:56:08.088 INFO     Fwd Conf 83
2019-07-22 19:56:08.282 INFO     Fwd Dist 1820 
2019-07-22 19:56:08.284 INFO     Fwd Conf 83
2019-07-22 19:56:08.473 INFO     Fwd Dist 1839 
