2019-07-23 19:36:29.783 INFO     Starting buoy test
2019-07-23 19:36:29.958 INFO     Fwd Dist 1058 
2019-07-23 19:36:29.958 INFO     Fwd Conf 100
2019-07-23 19:36:30.168 INFO     Fwd Dist 1058 
2019-07-23 19:36:30.168 INFO     Fwd Conf 100
2019-07-23 19:36:30.325 INFO     Fwd Dist 1058 
2019-07-23 19:36:30.326 INFO     Fwd Conf 100
2019-07-23 19:36:30.514 INFO     Fwd Dist 1058 
2019-07-23 19:36:30.515 INFO     Fwd Conf 100
2019-07-23 19:36:30.662 INFO     Fwd Dist 1058 
2019-07-23 19:36:30.662 INFO     Fwd Conf 100
2019-07-23 19:36:30.799 INFO     Fwd Dist 1059 
2019-07-23 19:36:30.799 INFO     Fwd Conf 100
2019-07-23 19:36:30.947 INFO     Fwd Dist 1059 
2019-07-23 19:36:30.947 INFO     Fwd Conf 100
2019-07-23 19:36:31.105 INFO     Fwd Dist 1058 
2019-07-23 19:36:31.106 INFO     Fwd Conf 100
2019-07-23 19:36:31.284 INFO     Fwd Dist 1058 
2019-07-23 19:36:31.284 INFO     Fwd Conf 100
2019-07-23 19:36:31.430 INFO     Fwd Dist 1060 
2019-07-23 19:36:31.430 INFO     Fwd Conf 100
2019-07-23 19:36:31.617 INFO     Fwd Dist 1063 
2019-07-23 19:36:31.617 INFO     Fwd Conf 100
2019-07-23 19:36:31.785 INFO      prev 1063
2019-07-23 19:36:31.785 INFO      current 1063
2019-07-23 19:36:31.785 INFO      diff 0
2019-07-23 19:36:31.785 INFO      accu_diff 0
2019-07-23 19:36:31.796 INFO      prev 1063
2019-07-23 19:36:31.796 INFO      current 1063
2019-07-23 19:36:31.796 INFO      diff 0
2019-07-23 19:36:31.796 INFO      accu_diff 0
2019-07-23 19:36:31.807 INFO      prev 1063
2019-07-23 19:36:31.807 INFO      current 1063
2019-07-23 19:36:31.807 INFO      diff 0
2019-07-23 19:36:31.808 INFO      accu_diff 0
2019-07-23 19:36:31.815 INFO     Fwd Dist 1063 
2019-07-23 19:36:31.815 INFO     Fwd Conf 100
2019-07-23 19:36:31.818 INFO      prev 1063
2019-07-23 19:36:31.818 INFO      current 1063
2019-07-23 19:36:31.819 INFO      diff 0
2019-07-23 19:36:31.819 INFO      accu_diff 0
2019-07-23 19:36:31.829 INFO      prev 1063
2019-07-23 19:36:31.830 INFO      current 1063
2019-07-23 19:36:31.830 INFO      diff 0
2019-07-23 19:36:31.830 INFO      accu_diff 0
2019-07-23 19:36:31.841 INFO      prev 1063
2019-07-23 19:36:31.841 INFO      current 1063
2019-07-23 19:36:31.841 INFO      diff 0
2019-07-23 19:36:31.841 INFO      accu_diff 0
2019-07-23 19:36:31.852 INFO      prev 1063
2019-07-23 19:36:31.852 INFO      current 1063
2019-07-23 19:36:31.852 INFO      diff 0
2019-07-23 19:36:31.852 INFO      accu_diff 0
2019-07-23 19:36:31.863 INFO      prev 1063
2019-07-23 19:36:31.863 INFO      current 1063
2019-07-23 19:36:31.863 INFO      diff 0
2019-07-23 19:36:31.864 INFO      accu_diff 0
2019-07-23 19:36:31.874 INFO      prev 1063
2019-07-23 19:36:31.874 INFO      current 1063
