2019-07-22 19:57:58.824 INFO     Starting buoy test
2019-07-22 19:57:58.951 INFO     Fwd Dist 707 
2019-07-22 19:57:58.952 INFO     Fwd Conf 77
2019-07-22 19:57:59.145 INFO     Fwd Dist 713 
2019-07-22 19:57:59.146 INFO     Fwd Conf 78
2019-07-22 19:57:59.304 INFO     Fwd Dist 713 
2019-07-22 19:57:59.304 INFO     Fwd Conf 79
2019-07-22 19:57:59.499 INFO     Fwd Dist 716 
2019-07-22 19:57:59.499 INFO     Fwd Conf 79
2019-07-22 19:57:59.635 INFO     Fwd Dist 716 
2019-07-22 19:57:59.636 INFO     Fwd Conf 80
2019-07-22 19:57:59.818 INFO     Fwd Dist 719 
2019-07-22 19:57:59.818 INFO     Fwd Conf 80
2019-07-22 19:58:00.023 INFO     Fwd Dist 735 
2019-07-22 19:58:00.023 INFO     Fwd Conf 81
2019-07-22 19:58:00.188 INFO     Fwd Dist 735 
2019-07-22 19:58:00.188 INFO     Fwd Conf 82
2019-07-22 19:58:00.360 INFO     Fwd Dist 734 
2019-07-22 19:58:00.360 INFO     Fwd Conf 82
2019-07-22 19:58:00.552 INFO     Fwd Dist 734 
2019-07-22 19:58:00.552 INFO     Fwd Conf 84
2019-07-22 19:58:00.741 INFO     Fwd Dist 743 
2019-07-22 19:58:00.741 INFO     Fwd Conf 85
2019-07-22 19:58:00.888 INFO     Fwd Dist 763 
2019-07-22 19:58:00.888 INFO     Fwd Conf 85
2019-07-22 19:58:01.035 INFO     Fwd Dist 763 
2019-07-22 19:58:01.035 INFO     Fwd Conf 86
2019-07-22 19:58:01.172 INFO     Fwd Dist 773 
2019-07-22 19:58:01.173 INFO     Fwd Conf 86
2019-07-22 19:58:01.339 INFO     Fwd Dist 773 
2019-07-22 19:58:01.340 INFO     Fwd Conf 81
2019-07-22 19:58:01.561 INFO     Fwd Dist 786 
2019-07-22 19:58:01.562 INFO     Fwd Conf 81
2019-07-22 19:58:01.758 INFO     Fwd Dist 790 
2019-07-22 19:58:01.759 INFO     Fwd Conf 83
2019-07-22 19:58:01.918 INFO     Fwd Dist 790 
2019-07-22 19:58:01.919 INFO     Fwd Conf 83
2019-07-22 19:58:02.094 INFO     Fwd Dist 808 
2019-07-22 19:58:02.096 INFO     Fwd Conf 83
2019-07-22 19:58:02.298 INFO     Fwd Dist 808 
2019-07-22 19:58:02.300 INFO     Fwd Conf 83
2019-07-22 19:58:02.523 INFO     Fwd Dist 814 
2019-07-22 19:58:02.524 INFO     Fwd Conf 84
2019-07-22 19:58:02.723 INFO     Fwd Dist 827 
2019-07-22 19:58:02.724 INFO     Fwd Conf 84
2019-07-22 19:58:02.876 INFO     Fwd Dist 840 
2019-07-22 19:58:02.877 INFO     Fwd Conf 90
2019-07-22 19:58:03.084 INFO     Fwd Dist 1522 
2019-07-22 19:58:03.085 INFO     Fwd Conf 90
2019-07-22 19:58:03.260 INFO     Fwd Dist 1522 
2019-07-22 19:58:03.261 INFO     Fwd Conf 90
2019-07-22 19:58:03.485 INFO     Fwd Dist 1527 
2019-07-22 19:58:03.486 INFO     Fwd Conf 90
2019-07-22 19:58:03.677 INFO     Fwd Dist 1527 
2019-07-22 19:58:03.678 INFO     Fwd Conf 90
2019-07-22 19:58:03.846 INFO     Fwd Dist 1528 
2019-07-22 19:58:03.848 INFO     Fwd Conf 90
2019-07-22 19:58:04.038 INFO     Fwd Dist 1523 
2019-07-22 19:58:04.040 INFO     Fwd Conf 91
2019-07-22 19:58:04.255 INFO     Fwd Dist 1523 
2019-07-22 19:58:04.257 INFO     Fwd Conf 91
2019-07-22 19:58:04.441 INFO     Fwd Dist 1523 
2019-07-22 19:58:04.442 INFO     Fwd Conf 91
