2019-07-22 19:50:16.806 INFO     Starting buoy test
2019-07-22 19:50:16.985 INFO     Fwd Dist 1294 
2019-07-22 19:50:16.985 INFO     Fwd Conf 66
2019-07-22 19:50:17.143 INFO     Fwd Dist 1327 
2019-07-22 19:50:17.143 INFO     Fwd Conf 66
2019-07-22 19:50:17.367 INFO     Fwd Dist 1296 
2019-07-22 19:50:17.367 INFO     Fwd Conf 50
2019-07-22 19:50:17.527 INFO     Fwd Dist 1296 
2019-07-22 19:50:17.528 INFO     Fwd Conf 50
2019-07-22 19:50:17.647 INFO     Fwd Dist 1287 
2019-07-22 19:50:17.647 INFO     Fwd Conf 50
2019-07-22 19:50:17.807 INFO     Fwd Dist 1287 
2019-07-22 19:50:17.808 INFO     Fwd Conf 66
2019-07-22 19:50:17.951 INFO     Fwd Dist 1284 
2019-07-22 19:50:17.951 INFO     Fwd Conf 66
2019-07-22 19:50:18.113 INFO     Fwd Dist 1284 
2019-07-22 19:50:18.114 INFO     Fwd Conf 87
2019-07-22 19:50:18.294 INFO     Fwd Dist 1393 
2019-07-22 19:50:18.294 INFO     Fwd Conf 87
2019-07-22 19:50:18.484 INFO     Fwd Dist 1393 
2019-07-22 19:50:18.484 INFO     Fwd Conf 62
2019-07-22 19:50:18.688 INFO     Fwd Dist 1314 
2019-07-22 19:50:18.688 INFO     Fwd Conf 77
2019-07-22 19:50:18.908 INFO     Fwd Dist 1350 
2019-07-22 19:50:18.909 INFO     Fwd Conf 77
2019-07-22 19:50:19.280 INFO     Fwd Dist 1398 
2019-07-22 19:50:19.280 INFO     Fwd Conf 81
2019-07-22 19:50:19.622 INFO     Fwd Dist 1411 
2019-07-22 19:50:19.622 INFO     Fwd Conf 80
2019-07-22 19:50:19.996 INFO     Fwd Dist 1430 
2019-07-22 19:50:19.996 INFO     Fwd Conf 84
2019-07-22 19:50:20.324 INFO     Fwd Dist 1408 
2019-07-22 19:50:20.324 INFO     Fwd Conf 74
2019-07-22 19:50:20.786 INFO     Fwd Dist 1373 
2019-07-22 19:50:20.786 INFO     Fwd Conf 89
2019-07-22 19:50:21.212 INFO     Fwd Dist 1434 
2019-07-22 19:50:21.212 INFO     Fwd Conf 89
2019-07-22 19:50:21.528 INFO     Fwd Dist 1448 
2019-07-22 19:50:21.528 INFO     Fwd Conf 74
2019-07-22 19:50:21.877 INFO     Fwd Dist 1501 
2019-07-22 19:50:21.877 INFO     Fwd Conf 84
2019-07-22 19:50:22.165 INFO     Fwd Dist 1571 
2019-07-22 19:50:22.165 INFO     Fwd Conf 58
2019-07-22 19:50:22.476 INFO     Fwd Dist 1543 
2019-07-22 19:50:22.483 INFO     Fwd Conf 58
2019-07-22 19:50:22.744 INFO     Fwd Dist 1572 
2019-07-22 19:50:22.744 INFO     Fwd Conf 83
2019-07-22 19:50:23.080 INFO     Fwd Dist 9088 
2019-07-22 19:50:23.084 INFO     Fwd Conf 84
2019-07-22 19:50:23.308 INFO     Fwd Dist 9096 
2019-07-22 19:50:23.308 INFO     Fwd Conf 85
2019-07-22 19:50:23.584 INFO     Fwd Dist 9116 
2019-07-22 19:50:23.584 INFO     Fwd Conf 86
2019-07-22 19:50:23.844 INFO     Fwd Dist 9149 
2019-07-22 19:50:23.844 INFO     Fwd Conf 87
2019-07-22 19:50:24.212 INFO     Fwd Dist 9206 
2019-07-22 19:50:24.212 INFO     Fwd Conf 87
2019-07-22 19:50:24.496 INFO     Fwd Dist 9229 
2019-07-22 19:50:24.496 INFO     Fwd Conf 88
2019-07-22 19:50:24.676 INFO     Fwd Dist 9228 
2019-07-22 19:50:24.676 INFO     Fwd Conf 88
2019-07-22 19:50:25.036 INFO     Fwd Dist 9253 
2019-07-22 19:50:25.036 INFO     Fwd Conf 89
2019-07-22 19:50:25.272 INFO     Fwd Dist 9344 
2019-07-22 19:50:25.272 INFO     Fwd Conf 90
2019-07-22 19:50:25.512 INFO     Fwd Dist 9380 
2019-07-22 19:50:25.512 INFO     Fwd Conf 90
2019-07-22 19:50:25.872 INFO     Fwd Dist 9425 
2019-07-22 19:50:25.873 INFO     Fwd Conf 91
2019-07-22 19:50:26.232 INFO     Fwd Dist 9476 
2019-07-22 19:50:26.232 INFO     Fwd Conf 92
2019-07-22 19:50:26.640 INFO     Fwd Dist 9496 
2019-07-22 19:50:26.640 INFO     Fwd Conf 78
2019-07-22 19:50:26.931 INFO     Fwd Dist 9536 
2019-07-22 19:50:26.931 INFO     Fwd Conf 79
2019-07-22 19:50:27.128 INFO     Fwd Dist 9506 
2019-07-22 19:50:27.128 INFO     Fwd Conf 79
2019-07-22 19:50:27.368 INFO     Fwd Dist 9487 
2019-07-22 19:50:27.368 INFO     Fwd Conf 80
2019-07-22 19:50:27.650 INFO     Fwd Dist 9482 
2019-07-22 19:50:27.650 INFO     Fwd Conf 81
2019-07-22 19:50:27.915 INFO     Fwd Dist 9534 
2019-07-22 19:50:27.920 INFO     Fwd Conf 82
2019-07-22 19:50:28.291 INFO     Fwd Dist 9534 
2019-07-22 19:50:28.292 INFO     Fwd Conf 66
2019-07-22 19:50:28.580 INFO     Fwd Dist 9580 
2019-07-22 19:50:28.580 INFO     Fwd Conf 67
2019-07-22 19:50:28.844 INFO     Fwd Dist 668 
2019-07-22 19:50:28.844 INFO     Fwd Conf 67
2019-07-22 19:50:29.125 INFO     Fwd Dist 678 
2019-07-22 19:50:29.125 INFO     Fwd Conf 68
2019-07-22 19:50:29.352 INFO     Fwd Dist 691 
2019-07-22 19:50:29.352 INFO     Fwd Conf 68
2019-07-22 19:50:29.740 INFO     Fwd Dist 677 
2019-07-22 19:50:29.740 INFO     Fwd Conf 67
2019-07-22 19:50:30.115 INFO     Fwd Dist 685 
2019-07-22 19:50:30.115 INFO     Fwd Conf 67
2019-07-22 19:50:30.402 INFO     Fwd Dist 690 
2019-07-22 19:50:30.402 INFO     Fwd Conf 69
2019-07-22 19:50:30.652 INFO     Fwd Dist 697 
2019-07-22 19:50:30.652 INFO     Fwd Conf 68
2019-07-22 19:50:30.908 INFO     Fwd Dist 729 
2019-07-22 19:50:30.908 INFO     Fwd Conf 70
2019-07-22 19:50:31.288 INFO     Fwd Dist 743 
2019-07-22 19:50:31.288 INFO     Fwd Conf 72
2019-07-22 19:50:31.524 INFO     Fwd Dist 760 
2019-07-22 19:50:31.524 INFO     Fwd Conf 72
2019-07-22 19:50:31.848 INFO     Fwd Dist 779 
2019-07-22 19:50:31.848 INFO     Fwd Conf 73
2019-07-22 19:50:32.156 INFO     Fwd Dist 803 
2019-07-22 19:50:32.156 INFO     Fwd Conf 99
2019-07-22 19:50:32.288 INFO     Fwd Dist 9547 
2019-07-22 19:50:32.288 INFO     Fwd Conf 99
2019-07-22 19:50:32.444 INFO     Fwd Dist 9547 
2019-07-22 19:50:32.445 INFO     Fwd Conf 99
2019-07-22 19:50:32.635 INFO     Fwd Dist 9530 
2019-07-22 19:50:32.635 INFO     Fwd Conf 99
2019-07-22 19:50:32.811 INFO     Fwd Dist 9521 
2019-07-22 19:50:32.811 INFO     Fwd Conf 99
2019-07-22 19:50:32.973 INFO     Fwd Dist 9521 
2019-07-22 19:50:32.974 INFO     Fwd Conf 99
2019-07-22 19:50:33.125 INFO     Fwd Dist 9543 
2019-07-22 19:50:33.125 INFO     Fwd Conf 99
2019-07-22 19:50:33.330 INFO     Fwd Dist 9543 
2019-07-22 19:50:33.330 INFO     Fwd Conf 99
2019-07-22 19:50:33.484 INFO     Fwd Dist 9541 
2019-07-22 19:50:33.484 INFO     Fwd Conf 99
2019-07-22 19:50:33.647 INFO     Fwd Dist 9539 
2019-07-22 19:50:33.648 INFO     Fwd Conf 99
2019-07-22 19:50:33.809 INFO     Fwd Dist 9539 
2019-07-22 19:50:33.810 INFO     Fwd Conf 99
2019-07-22 19:50:33.982 INFO     Fwd Dist 9521 
2019-07-22 19:50:33.983 INFO     Fwd Conf 99
2019-07-22 19:50:34.178 INFO     Fwd Dist 9526 
2019-07-22 19:50:34.178 INFO     Fwd Conf 99
2019-07-22 19:50:34.398 INFO     Fwd Dist 9526 
2019-07-22 19:50:34.398 INFO     Fwd Conf 99
2019-07-22 19:50:34.571 INFO     Fwd Dist 9522 
2019-07-22 19:50:34.572 INFO     Fwd Conf 99
2019-07-22 19:50:34.701 INFO     Fwd Dist 9518 
2019-07-22 19:50:34.701 INFO     Fwd Conf 99
2019-07-22 19:50:34.907 INFO     Fwd Dist 9518 
2019-07-22 19:50:34.907 INFO     Fwd Conf 99
2019-07-22 19:50:35.070 INFO     Fwd Dist 9511 
2019-07-22 19:50:35.070 INFO     Fwd Conf 99
2019-07-22 19:50:35.231 INFO     Fwd Dist 9506 
2019-07-22 19:50:35.231 INFO     Fwd Conf 82
2019-07-22 19:50:35.404 INFO     Fwd Dist 9506 
2019-07-22 19:50:35.405 INFO     Fwd Conf 66
2019-07-22 19:50:35.598 INFO     Fwd Dist 740 
2019-07-22 19:50:35.599 INFO     Fwd Conf 80
2019-07-22 19:50:35.792 INFO     Fwd Dist 740 
2019-07-22 19:50:35.793 INFO     Fwd Conf 80
2019-07-22 19:50:35.981 INFO     Fwd Dist 740 
2019-07-22 19:50:35.981 INFO     Fwd Conf 76
2019-07-22 19:50:36.173 INFO     Fwd Dist 764 
2019-07-22 19:50:36.173 INFO     Fwd Conf 76
2019-07-22 19:50:36.317 INFO     Fwd Dist 712 
2019-07-22 19:50:36.317 INFO     Fwd Conf 99
2019-07-22 19:50:36.508 INFO     Fwd Dist 3693 
2019-07-22 19:50:36.508 INFO     Fwd Conf 99
2019-07-22 19:50:36.691 INFO     Fwd Dist 3712 
2019-07-22 19:50:36.692 INFO     Fwd Conf 99
2019-07-22 19:50:36.894 INFO     Fwd Dist 3731 
2019-07-22 19:50:36.894 INFO     Fwd Conf 99
2019-07-22 19:50:37.098 INFO     Fwd Dist 3731 
2019-07-22 19:50:37.099 INFO     Fwd Conf 99
2019-07-22 19:50:37.280 INFO     Fwd Dist 3752 
2019-07-22 19:50:37.281 INFO     Fwd Conf 99
